"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
117,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、通信學類、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
118,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 碩士以上 "," 資訊工程相關、資訊管理相關 "," 不拘 ","ASP.NET、C#、C++、MS SQL、Oracle"," 不拘 "
119,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
120,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、電機電子工程相關、通信學類 "," 不拘 "," 不拘 "," 不拘 "
121,"夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、電機電子工程相關、通信學類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
122,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、通信學類、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
123,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
124,"夜間就讀中、學生實習"," 不拘 "," 大學 "," 資訊工程相關、電機電子工程相關、通信學類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
125,"學生實習"," 不拘 "," 碩士以上 "," 不拘 "," 不拘 ","C、C++、Java、Python"," 不拘 "
126,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 經濟學相關、物理學相關、數理統計相關 "," 不拘 ","C++、Python"," 不拘 "
127,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Python、JavaScript"," 不拘 "
128,"應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊工程相關、資訊管理相關、數理統計相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 "," 不拘 "," 不拘 "
129,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 高中、大學、碩士、博士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
130,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  台語 -- 中等 贊助提升語文能力","Excel、OneNote、Outlook、PowerPoint、Project、Word","行銷製作物規劃與執行、提案與簡報技巧、實體活動規劃與執行、網站企劃能力、網路活動規劃與執行、研討會／講座活動規劃與執行、社群媒體經營管理、市場調查資料分析與報告撰寫、廣告企劃案╱文案撰寫、客戶資料更新維護、客戶情報蒐集、客訴案件處理、產品介紹及解說銷售、文書處理軟體操作、流程圖軟體操作、專案管理軟體操作、電子試算表軟體操作、簡報軟體操作、技術文件翻譯、會議╱談判即時口譯"
131,"上班族、應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","C#、JavaScript、Unity3D","軟體工程系統開發、軟體程式設計、網路程式設計"
132,"上班族、應屆畢業生、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 大學以上 "," 資訊管理相關、資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
133,"應屆畢業生、學生實習"," 1年以上 "," 專科、大學 "," 資訊管理相關、資訊工程相關、其他工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","Python、Database Administrator、Database Management","軟體工程系統開發"
134,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊管理相關、圖書管理相關、統計學相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","MySQL、Excel"," 不拘 "
